game_id,name,roles
halo-3,Tomonobu Itagaki,Special Thanks
halo-3,Tomonori Kinoshita,Excell Data Corporation
halo-3,Tony Bradley,Development Partners
halo-3,Travis Brady,3D Artists
halo-3,Travis Pijut,Excell Data Corporation
halo-3,Tristan Root,Tools Engineers
halo-3,Tristan Yolton,Volt
halo-3,Troy Allen Coleman,Sakson & Taylor
halo-3,Tyler Booth,Volt
halo-3,Tyson Green,Multiplayer Design Lead
halo-3,Vic DeLeon,Campaign Environment Artists
halo-3,Vicor Tan,Xbox Platform & Xbox Live
halo-3,Victor De Saboya,Xversity
halo-3,Wes Shriner,Special Thanks
halo-3,William O'Brian,Animators
halo-3,Xi Wang,Graphics Engineers
halo-3,Xing Huang,Microsoft Research Asia
halo-3,Xingguo Liu,Microsoft Research Asia
halo-3,Yaohua Hu,Microsoft Research Asia
halo-3,Yaron Yedidia,Special Thanks
halo-3,Yasmine Nelson,Redmond
halo-3,Yuki Harima,Japan
halo-3,Zach Russell,Engineering Leads
halo-3,Zhipeng Hu,Microsoft Research Asia
halo-3,Éric Lessard,DamnFX
halo-3-odst,Aaron Elliott,Marketing | PR
halo-3-odst,Aaron Lemay,Visual Design Artists
halo-3-odst,Aaron Lieberman,Tools Engineering
halo-3-odst,Aaron Nicholls,Engineering Leads
halo-3-odst,Adam Baldwin,Dutch
halo-3-odst,Adrian Mark Perez,Additional Engineering
halo-3-odst,Adrien Annesley,Animators
halo-3-odst,Alan Tudyk,Mickey
halo-3-odst,Alex Bezman,IT Team
halo-3-odst,Alex Cutting,Producers
halo-3-odst,Alex Emmet,Sdets
halo-3-odst,Alex Pfeiffer,Designers
halo-3-odst,Alicia Brattin,Special Thanks
halo-3-odst,Alicia Hatch,Special Thanks
halo-3-odst,Allen Murray,Halo 3 Contributors
halo-3-odst,Andra Ion Niculescu,Testers
halo-3-odst,Andrew G. Davis,User Interface Artist
halo-3-odst,Andrew Harrison,Testers
halo-3-odst,Andrew Hopper,Testers
halo-3-odst,Andrew Ogawa,Animators
halo-3-odst,Andrew Solomon,Engineering Leads
halo-3-odst,Andy Chen An Liu,Software Test Engineer
halo-3-odst,Andy McKaige,Marines
halo-3-odst,Anthony Bryan,Excell Data Corporation
halo-3-odst,Arthur Tien,Special Thanks
halo-3-odst,Arturo Gutierrez Jr.,Security
halo-3-odst,Ash Wood,Artwork
halo-3-odst,Bartek Kujbida,Animators
halo-3-odst,Ben Cammarano,Director of Art
halo-3-odst,Ben Thompson,The Rest of the Bungie Crew
halo-3-odst,Ben Wallace,Engineering Leads
halo-3-odst,Benjamin J. Wommack,Production Engineers
halo-3-odst,Benoît Gagné,Animators
