game_id,source_ref,heading
halo-2,L486,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L487,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L488,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L489,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L49,Credits / Multiplayer & User-Interface Lead
halo-2,L490,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L491,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L492,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L493,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L494,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L495,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L496,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L497,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L499,Credits / Community / Middleware and Additional Credits
halo-2,L500,Credits / Community / Middleware and Additional Credits
halo-2,L501,Credits / Community / Middleware and Additional Credits
halo-2,L502,Credits / Community / Middleware and Additional Credits
halo-2,L503,Credits / Community / Middleware and Additional Credits
halo-2,L504,Credits / Community / Middleware and Additional Credits
halo-2,L505,Credits / Community / Middleware and Additional Credits
halo-2,L506,Credits / Community / Middleware and Additional Credits
halo-2,L507,Credits / Community / Middleware and Additional Credits
halo-2,L508,Credits / Community / Middleware and Additional Credits
halo-2,L509,Credits / Community / Middleware and Additional Credits
halo-2,L51,Credits / Producers
halo-2,L510,Credits / Community / Middleware and Additional Credits
halo-2,L511,Credits / Community / Middleware and Additional Credits
halo-2,L512,Credits / Community / Middleware and Additional Credits
halo-2,L513,Credits / Community / Middleware and Additional Credits
halo-2,L514,Credits / Community / Middleware and Additional Credits
halo-2,L515,Credits / Community / Middleware and Additional Credits
halo-2,L516,Credits / Community / Middleware and Additional Credits
halo-2,L517,Credits / Community / Middleware and Additional Credits
halo-2,L518,Credits / Community / Middleware and Additional Credits
