name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
David Kekuewa,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Fred Matthews,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Kathy McKee,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Eileen Meredith,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Jim Munios,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Erin Neff,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Rachelle Perry,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Bill Pickersgill,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Virginia Pluth,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Colby Roberts,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Mike Rodgers,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Cliff Romig,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Mimi Ruiz,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Jason Sarton,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Shelley Seitz,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Claudia Siefer,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Jonathon Smucker,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Erich Stratmann,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Nicole Takesono,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Michael Taylor,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Paul Thompson,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Jere Torkelsen,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Peter Tuff,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Richard Walker,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Heidi Waterman,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Jacque Wilson,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Karen Winner-Huff,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Ian Robertson,,Audio,Conductor,,The San Francisco Boys Chorus,core,mobygames:tr131
Gabryl Adarne,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Abraham Baldonado,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Chase Becerrill,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Gio Raphael Burgos,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Ethan Chen,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Lucas Dong,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Mason Goldberg,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Ryan Huckleberry,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Aidan Hyde,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Westley James,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Arman Marchiel,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Daniel Mitchell,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Desmond Ongpin,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Daniel Ostrom,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
William Poulter,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Yukio Rahdert,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Sam Rosen,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Alexander Roswall,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Safi Rouhi,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Pierce Soderquist,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Baxter Spark,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Zachary Tang,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Evan Tiapula,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Mark Urdan,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Bernie Grundman,,Audio,Chorus,,The San Francisco Boys Chorus,core,mobygames:tr132
Patricia Sullivan,,Audio,Mastering Engineer,,The San Francisco Boys Chorus,core,mobygames:tr133
Bernie Grundman,,Audio,Mastering,,The San Francisco Boys Chorus,core,mobygames:tr134
Charles Deenen,,Audio,Supervising Sound Designer / Re-recording Mixer,,Source Sound Inc.,core,mobygames:tr136
