name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
John M. Adams,,Voice,Test Associates,,,core,mobygames:tr360
Tristan Campbell,,Voice,Test Associates,,,core,mobygames:tr360
Samantha Cooperman,,Voice,Test Associates,,,core,mobygames:tr360
Maria Felix Varga,,Voice,Test Associates,,,core,mobygames:tr360
Ashleigh Kimes,,Voice,Test Associates,,,core,mobygames:tr360
Adam Landy,,Voice,Test Associates,,,core,mobygames:tr360
Matthes Maas,,Voice,Test Associates,,,core,mobygames:tr360
Reynolds Montelongo,,Voice,Test Associates,,,core,mobygames:tr360
Timothy C. Wells,,Voice,Test Associates,,,core,mobygames:tr360
Cumron Ashtiani,,Other,Management,,Atomhawk,core,mobygames:tr371
Julen Urrutia Pérez,,Art,Character Artists,,Axis Studios,core,mobygames:tr399
Leonardo C. Braz da Cunha,,Art,Environment & Vehicle Artists,,Axis Studios,core,mobygames:tr405
Garin RK Richards,,Engineering,Engineering,,"Certain Affinity, Inc.",core,mobygames:tr467
Ruben Kyle Renteria,,Art,Animation Supervisor,,Counterpunch,core,mobygames:tr515
Dilip Khimraj Suthar,,Art,Art Directors,,Mandali Games,core,mobygames:tr569
Lanting Ji,,Art,Animation,,Mindwalk,core,mobygames:tr578
Liqun Wang,,Art,Animation,,Mindwalk,core,mobygames:tr578
Suxin Yue,,Art,Animation,,Mindwalk,core,mobygames:tr578
Wang Chen,,Art,Animation,,Mindwalk,core,mobygames:tr578
Yao Zhao,,Art,Animation,,Mindwalk,core,mobygames:tr578
Chenguang Li,,Art,Lead Artists,,Mindwalk,core,mobygames:tr580
Alfred Bryan M. Vidal,,Art,Concept Artists,,Pixel Mafia,core,mobygames:tr601
Shanshan Li,,Art,Artists,,Red Hot CG,core,mobygames:tr615
Niu Lina,,Other,Management,,Red Hot CG,core,mobygames:tr617
Olive Chou,,Engineering,Engineers,,"Skybox Labs, Inc.",core,mobygames:tr645
Alex Qutob,,Other,IT,,"Skybox Labs, Inc.",core,mobygames:tr647
Quetzal Aguilar Dominguez,,Art,Senior Level Artists,,"Sperasoft, Inc.",core,mobygames:tr686
Susan DeVenero,,Art,Lead Lighting Artist,,"Sperasoft, Inc.",core,mobygames:tr689
Kate J. R,,Special Thanks,Special Thanks,,The Coalition,special-thanks,mobygames:tr756
Bonnie Ross-Ziegler,,Leadership,"Corporate Vice President, Head of 343 Industries",,,core,mobygames:tr765
Matthew Osbond,,Art,Senior Technical Art Director,,,core,mobygames:tr782
Noah P. Musler,,Studio/Business,"Senior Director, Business Development",,,core,mobygames:tr817
Stephen Hall,,Voice,Business Operations,,,core,mobygames:tr822
Allison Foote-Nagy,,Studio/Business,Recruitment,,,core,mobygames:tr838
Yan Da Silva,,Voice,Portuguese Brazilian Test,,,publishing,mobygames:tr858
Jack Elliot,,Engineering,Senior Software Engineer Lead,,,core,mobygames:tr905
Deepali Bhagvat,,Engineering,Software Engineers,,,core,mobygames:tr908
Joseph Ferstl,,Production,Consumer Products Category Manager,,,core,mobygames:tr922
Edward Masiello,,Voice,Consumer Products,,,core,mobygames:tr925
Stanely Paul,,Engineering,Senior Service Engineers,,,core,mobygames:tr944
Domian Brown,,Voice,Oni,,,core,mobygames:tr945
Nico Cueto-Cargo',,Voice,Oni,,,core,mobygames:tr945
Ikechukwu Prince Amadi,,Voice,Voice Actor,,,core,mobygames:tr968
Christopher Swindle,,Voice,Voice Actor,,,core,mobygames:tr972
Matthew Kaminsky,,Voice,Voice Actor,,,core,mobygames:tr993
David B. Mitchell,,Voice,Voice Actor,,,core,mobygames:tr993
Roxanna Ortega,,Voice,Voice Actor,,,core,mobygames:tr993
Isaac C. Singleton Jr.,,Voice,Voice Actor,,,core,mobygames:tr993
Julian D. Stone,,Voice,Voice Actor,,,core,mobygames:tr993
Matthew J. Waterson,,Voice,Voice Actor,,,core,mobygames:tr993
Robert King,,Voice,Sound Engineering,,,core,mobygames:tr1001
Jesus C. Murillo,,Voice,Sound Engineering,,,core,mobygames:tr1001
Rob Blake,,Audio,Sound Designers (Game Audio),,,core,mobygames:tr1013
Alyson Dee Moore,,Audio,Foley Artists,,,core,mobygames:tr1017
Garrett Montgomery,,Voice,Voice Over Editorial,,,core,mobygames:tr1020
Daniel P. Francis,,Voice,Voice Over Editorial,,,core,mobygames:tr1020
Carlon Jesse Assells,,Voice,Voice Over Editorial,,,core,mobygames:tr1020
John Paul Fasal,,Audio,Field Recordists,,,core,mobygames:tr1022
Susie Gillis,,Voice,Orchestra Contractors,,,core,mobygames:tr1039
David Andrew Shipps,,Audio,Orchestra Conductors,,,core,mobygames:tr1041
Georgi Elenkov,,Voice,Four For Music Recording & Contracting,,,core,mobygames:tr1048
Vladislav Boyadjiev,,Audio,Bulgarian Choir Sound Engineers,,,core,mobygames:tr1050
Brian Christian,,Art,Art,,,special-thanks,mobygames:tr1057
Andrew J. Mack,,Voice,Art,,,special-thanks,mobygames:tr1057
Benjamin Cholewinski,,Voice,Design,,,special-thanks,mobygames:tr1060
Ted Rivera,,Engineering,Engineering,,,special-thanks,mobygames:tr1061
Krystal Holmes,,Special Thanks,Forerunners,,,special-thanks,mobygames:tr1083
Ascend Hyperion,,Special Thanks,Forge Council,,,special-thanks,mobygames:tr1084
Raymond Benefield,,Special Thanks,Forge Council,,,special-thanks,mobygames:tr1084
Mike C. Hall,,Voice,Character Animation,,,core,mobygames:tr9
Angelita R. Wylie,,Art,Senior Technical Motion Capture Animator,,,core,mobygames:tr23
Daniel Tafaro,,Art,Technical Motion Capture Animation,,,core,mobygames:tr24
Benjamin Mauro,,Art,Senior Concept Artists,,,core,mobygames:tr43
Zackry Lee,,Voice,Concept Art,,,core,mobygames:tr44
Espen Sætervik,,Voice,Concept Art,,,core,mobygames:tr44
Timothy Diaz,,Art,Senior Environment Artists,,,core,mobygames:tr49
Ryan Smith,,Art,Senior Environment Artists,,,core,mobygames:tr49
Michael Rodriguez,,Voice,Campaign Environment Art,,,core,mobygames:tr51
Joshua Wilkinson,,Voice,Campaign Environment Art,,,core,mobygames:tr51
Kimberly A. Haines,,Art,Senior Technical Environment Artist,,,core,mobygames:tr65
William Gray,,Voice,Technical Environment Art,,,core,mobygames:tr67
Robert Forest Baker,,Art,Senior FX Artist,,,core,mobygames:tr70
Michael Puoci,,Voice,FX,,,core,mobygames:tr73
Nicholas D'Amato,,Voice,Audio Design,,,core,mobygames:tr93
Paxson Helgesen,,Voice,Audio Design,,,core,mobygames:tr93
Colin Andrew Grant,,Voice,Music,,,core,mobygames:tr97
Adam T. Croft,,Voice,Audio Technical Design,,,core,mobygames:tr100
Thornton Prime,,Voice,Audio Technical Design,,,core,mobygames:tr100
Nixxi Isabella Mohilchock,,Voice,Gameplay Design,,,core,mobygames:tr111
Andrew J. Witts,,Design,Multiplayer Lead Modes & Systems Designer,,,core,mobygames:tr137
Stéphane D. LeBrun,,Engineering,Senior Software Engineering Lead,,,core,mobygames:tr177
Daniel White,,Engineering,Software Engineers,,,core,mobygames:tr183
James Osborne,,Engineering,Principal Software Engineering Lead,,,core,mobygames:tr190
Saul D. Rodriguez Vazquez,,Voice,Software Engineers,,,core,mobygames:tr192
Garret B. Hoffman,,Voice,Software Engineers,,,core,mobygames:tr201
xo corvus,,Engineering,Software Engineers,,,core,mobygames:tr201
Ilya Kushin,,Engineering,Senior Software Engineers,,,core,mobygames:tr218
Joshua Hoida,,Engineering,Senior Engineering Lead,,,core,mobygames:tr233
Joseph Park,,Voice,Software Engineers,,,core,mobygames:tr234
Andrew David Adam,,Engineering,Senior Software Engineers,,,core,mobygames:tr237
Michael Romero,,Engineering,"Principal Software Engineering Manager, Graphics & PC",,,core,mobygames:tr241
Anirudh Shastry,,Engineering,Principal Software Engineering Managers,,,core,mobygames:tr250
Andrew Luedke,,Engineering,Principal Software Engineering Lead,,,core,mobygames:tr251
Karim A. Luccin,,Engineering,Principal Software Engineers,,,core,mobygames:tr252
Ching-Yen Lin,,Voice,Software Engineers,,,core,mobygames:tr254
Matthew Sutherlin,,Engineering,Software Engineers,,,core,mobygames:tr254
Kevin M. Forsyth,,Voice,Engineering Helpdesk,,,core,mobygames:tr256
Nick Frame,,Voice,Engineering Helpdesk,,,core,mobygames:tr256
Phillip Dettorre,,Engineering,Software Engineers,,,core,mobygames:tr260
Jon David Stevens,,Voice,Software Engineers,,,core,mobygames:tr269
Lina Sokaite Gaeta,,Engineering,Senior Software Engineering Lead,,,core,mobygames:tr272
Zachary Lute,,Engineering,Senior Software Engineers,,,core,mobygames:tr274
Matthew Johnson,,Voice,Software Engineers,,,core,mobygames:tr275
Gregory Stone,,Production,"Principal Lead Producer, Campaign",,,core,mobygames:tr279
Casey Marissa Wu,,Engineering,"Lead Producer, Core Tech",,,core,mobygames:tr283
David Ellison,,Voice,Producer,,,core,mobygames:tr297
Daniel Joji Koons,,Voice,Software Test Engineers,,,core,mobygames:tr357
Robert Reidburn,,Voice,Software Test Engineers,,,core,mobygames:tr357
John M. Adams,,Voice,Test Associates,,,core,mobygames:tr358
Tristan Campbell,,Voice,Test Associates,,,core,mobygames:tr358
Samantha Cooperman,,Voice,Test Associates,,,core,mobygames:tr358
Maria Felix Varga,,Voice,Test Associates,,,core,mobygames:tr358
Ashleigh Kimes,,Voice,Test Associates,,,core,mobygames:tr358
Adam Landy,,Voice,Test Associates,,,core,mobygames:tr358
Matthes Maas,,Voice,Test Associates,,,core,mobygames:tr358
Reynolds Montelongo,,Voice,Test Associates,,,core,mobygames:tr358
Timothy C. Wells,,Voice,Test Associates,,,core,mobygames:tr358
Cumron Ashtiani,,Other,Management,,Atomhawk,core,mobygames:tr369
Julen Urrutia Pérez,,Art,Character Artists,,Axis Studios,core,mobygames:tr397
Leonardo C. Braz da Cunha,,Art,Environment & Vehicle Artists,,Axis Studios,core,mobygames:tr403
Garin RK Richards,,Engineering,Engineering,,"Certain Affinity, Inc.",core,mobygames:tr465
Ruben Kyle Renteria,,Art,Animation Supervisor,,Counterpunch,core,mobygames:tr513
Dilip Khimraj Suthar,,Art,Art Directors,,Mandali Games,core,mobygames:tr567
Lanting Ji,,Art,Animation,,Mindwalk,core,mobygames:tr576
Liqun Wang,,Art,Animation,,Mindwalk,core,mobygames:tr576
Suxin Yue,,Art,Animation,,Mindwalk,core,mobygames:tr576
Wang Chen,,Art,Animation,,Mindwalk,core,mobygames:tr576
Yao Zhao,,Art,Animation,,Mindwalk,core,mobygames:tr576
Chenguang Li,,Art,Lead Artists,,Mindwalk,core,mobygames:tr578
Alfred Bryan M. Vidal,,Art,Concept Artists,,Pixel Mafia,core,mobygames:tr599
Shanshan Li,,Art,Artists,,Red Hot CG,core,mobygames:tr613
Niu Lina,,Other,Management,,Red Hot CG,core,mobygames:tr615
Olive Chou,,Engineering,Engineers,,"Skybox Labs, Inc.",core,mobygames:tr643
Alex Qutob,,Other,IT,,"Skybox Labs, Inc.",core,mobygames:tr645
Quetzal Aguilar Dominguez,,Art,Senior Level Artists,,"Sperasoft, Inc.",core,mobygames:tr684
